rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,8d1fc6fc3cfc,DoorControl,GAME,GAME/DOOR.C,231,234,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
2,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,127,145,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,50,110,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,8d1fc6fc3cfc,UnderwaterDoorCollision,GAME,GAME/DOOR.C,112,115,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
5,8d1fc6fc3cfc,undraw_shotgun,GAME,GAME/LARA1GUN.C,132,167,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,8d1fc6fc3cfc,LaraDoClimbLeftRight,GAME,GAME/LARACLMB.C,553,661,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,8d1fc6fc3cfc,LaraControl,GAME,GAME/LARAMISC.C,163,819,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
8,8d1fc6fc3cfc,AnimatingPickUp,GAME,GAME/PICKUP.C,273,317,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,8d1fc6fc3cfc,SearchObjectCollision,GAME,GAME/PICKUP.C,170,173,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,8d1fc6fc3cfc,SearchObjectControl,GAME,GAME/PICKUP.C,175,178,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
11,8d1fc6fc3cfc,CogSwitchControl,GAME,GAME/SWITCH.C,167,171,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
12,8d1fc6fc3cfc,CrowDoveSwitchControl,GAME,GAME/SWITCH.C,132,159,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,8d1fc6fc3cfc,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,185,189,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
14,8d1fc6fc3cfc,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,173,177,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
15,8d1fc6fc3cfc,FullBlockSwitchControl,GAME,GAME/SWITCH.C,179,183,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
16,8d1fc6fc3cfc,RailSwitchCollision,GAME,GAME/SWITCH.C,197,201,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
17,8d1fc6fc3cfc,SwitchCollision,GAME,GAME/SWITCH.C,346,350,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
18,8d1fc6fc3cfc,SwitchCollision2,GAME,GAME/SWITCH.C,340,344,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
19,8d1fc6fc3cfc,SwitchControl,GAME,GAME/SWITCH.C,352,356,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
20,8d1fc6fc3cfc,TurnSwitchControl,GAME,GAME/SWITCH.C,322,326,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
21,8d1fc6fc3cfc,FallingCeiling,GAME,GAME/TRAPS.C,297,303,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
22,8d1fc6fc3cfc,TrapDoorControl,GAME,GAME/TRAPS.C,169,212,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
